Report date;Property no.;Property name;Street address;Postal code;City;Lease no.;Tenant;Business ID;Tenant brand;Tenant group;Region;Lease type;Type of use;Building ID;Lease unit;ModelTreeID;Construction year;Renovation year;Leasable area (sqm);Quantity (pcs);Lease started;Beginning lease;Lease expiry date (fixed term);Earliest notice date (landlord);Notice period (landlord);Earliest possible expiry date; Notice period (tenant) ;Lease maturity;Conditions for lease extension;Capital rent; Maintenance rent ; Maintenance rent adjustments ;Supplements; Investment rent ; Discounts ;Total monthly rent;Rent type;VAT tax base; Base rent ;Basis of rent increase;Index type;Base index value;Month(s) of rent increase;Latest index review;Latest index value;Minimum rent increase;Tenure;Leasehold termination;Property ID;Beds/rooms;Measured m2;ERV €/m2;Valuation
1.11.2020;5501;Kiinteistö Oy Järvenpään Myllytie 1A;Myllytie 1A;04410;Järvenpää;510001253;Aava Terveyspalvelut Oy;0201276-9;;Aava;Uusimaa;Fixed term;Daily services;,MYL01;Autohalli, B1-7, F2-1, F3-2, F3-5, F4-6, F4-7, F4-9;;2010;;1 250,50;;20.12.2019;;31.10.2044;;;31.10.2044;;24,01;Vuokra-aika jatkuu automaattisesti samoin ehdoin 10 vuotta edellä mainitusta päättymispäivästä lukien, ellei jompikumpi osapuoli ole ilmoittanut kirjallisesti viimeistään 18 kk ennen alkuperäisen vuokra-ajan päättymispäivää, että vuokra-aikaa ei jatketa. Selvyydeksi todetaan, että vuokrasopimus voi kestää näin ollen korkeintaan 25 vuotta. ;34 015,52;7 904;5 454;;;;47 373,23;;0 %;29 617,69;Index-based;Cost-of-living index (1951:10 = 100);1950;1,7,;20205;1965;;Freehold;;186-6-665-1           ,;;1 251,00;;JLL
1.11.2020;5501;Kiinteistö Oy Järvenpään Myllytie 1A;Myllytie 1A;04410;Järvenpää;510001726;Aava Terveyspalvelut Oy;0201276-9;;Aava;Uusimaa;Rolling;Daily services;,MYL01;B1-6;;2010;;28,50;;30.9.2020;;;;1;31.12.2020;1;0,16;;1 000,00;;;;;;1 000,00;;0 %;;No rent adjustments;;;;;;;Freehold;;186-6-665-1           ,;;28,50;11,00;JLL
1.11.2020;5501;Kiinteistö Oy Järvenpään Myllytie 1A;Myllytie 1A;04410;Järvenpää;510000403;Cadworks Oy;1743620-6;;Cadworks Oy;Uusimaa;Fixed term;Office;,MYL01;Autohalli, B1-8, F4-1, F4-2;;2010;;547,00;;1.5.2017;;30.4.2024;;;30.4.2024;;3,50;;9 284,89;3 792;1 731;;;;14 808,26;;24 %;9 192,95;Index-based;Cost-of-living index (1951:10 = 100);1916;5,;20203;1973;1,00 %;Freehold;;186-6-665-1           ,;;547,00;;JLL
1.11.2020;5501;Kiinteistö Oy Järvenpään Myllytie 1A;Myllytie 1A;04410;Järvenpää;510001640;HOK-Elanto Liiketoiminta Oy;1837957-3;;HOK-Elanto Liiketoiminta Oy;Uusimaa;Fixed term;Grocery;,MYL01;B1-18, B1-19, B1-9, F1-1, F1-13, Lastauslaituri;;2010;;2 026,50;;1.9.2020;;31.8.2027;;;31.8.2027;;6,83;Vuokralaisella on optio jatkaa vuokrasuhdetta (vuokra-aikaa) tämän vuokrasopimuksen mukaisilla ehdoilla kaksi (2) kertaa viidellä (5) vuodella ilmoittamalla siitä kirjallisesti vuokranantajalle viimeistään kaksikymmentäneljä (24) kuukautta ennen vuokra-ajan ja ennen ensimmäisen optiokauden päättymistä. Selvyydeksi todetaan, että vuokrasopimus voi kestää näin ollen korkeintaan 17 vuotta.;33 771,60;11 247;;;;-33 772;11 247,08;;24 %;;Index-based;Cost-of-living index (1951:10 = 100);1969;1,;;;;Freehold;;186-6-665-1           ,;;2 024,50;20,00;JLL
1.11.2020;5501;Kiinteistö Oy Järvenpään Myllytie 1A;Myllytie 1A;04410;Järvenpää;510000131;HUS-Kuntayhtymä / HUS Tilakeskus;1567535-0;;HUS;Uusimaa;Fixed term;Daily services;,MYL01;B1-23, F3-1;;2010;;849,00;;1.10.2011;;30.9.2021;;;30.9.2021;;0,91;;15 018,68;4 791;3 571;;;;23 380,41;;24 %;12 396,85;Index-based;Cost-of-living index (1951:10 = 100);1764;1,7,;20205;1965;;Freehold;;186-6-665-1           ,;;808,50;;JLL
1.11.2020;5501;Kiinteistö Oy Järvenpään Myllytie 1A;Myllytie 1A;04410;Järvenpää;510000123;Järvenpään Ajokoulutuskeskus Oy;1581718-7;;Järvenpään Ajokoulutuskeskus Oy;Uusimaa;Rolling;Office;,MYL01;Autohalli;;2010;;0,00;;1.7.2013;;;30.06.2016;6;31.5.2021;6;0,58;;58,52;35;;;;;93,79;;24 %;56,12;Index-based;Cost-of-living index (1951:10 = 100);1892;1,7,;20205;1965;;Freehold;;186-6-665-1           ,;;;;JLL
1.11.2020;5501;Kiinteistö Oy Järvenpään Myllytie 1A;Myllytie 1A;04410;Järvenpää;510001113;Keski-Uudenmaan sote-kuntayhtymä;2844969-4;;Keski-Uudenmaan sote-kuntayhtymä;Uusimaa;Fixed term;Office;,MYL01;F4-10, F4-5, F4-8;;2010;;285,50;;1.5.2017;;30.4.2022;;;30.4.2022;;1,49;;4 706,42;1 611;514;;;;6 831,14;;24 %;4 568,00;Index-based;Cost-of-living index (1951:10 = 100);1923;1,;201911;1973;1,00 %;Freehold;;186-6-665-1           ,;;282,00;;JLL
1.11.2020;5501;Kiinteistö Oy Järvenpään Myllytie 1A;Myllytie 1A;04410;Järvenpää;510001251;Pikkujätti lasten ja nuorten lääkäriasema Oy;2272762-2;;Aava;Uusimaa;Fixed term;Daily services;,MYL01;F1-4, F1-7;;2010;;550,00;;20.12.2019;;31.10.2044;;;31.10.2044;;24,01;;13 010,67;3 234;;;;;16 244,67;;0 %;12 859,00;Index-based;Cost-of-living index (1951:10 = 100);1950;1,7,;20205;1965;;Freehold;;186-6-665-1           ,;;550,50;;JLL
1.11.2020;5501;Kiinteistö Oy Järvenpään Myllytie 1A;Myllytie 1A;04410;Järvenpää;510001721;Pikkujätti lasten ja nuorten lääkäriasema Oy;2272762-2;;Aava;Uusimaa;Rolling;Daily services;,MYL01;B1-15;;2010;;37,00;;1.2.2020;;;31.01.2022;3;30.4.2022;3;1,49;;425,50;226;;;;;651,94;;0 %;;Index-based;Cost-of-living index (1951:10 = 100);1976;1,;;;2,00 %;Freehold;;186-6-665-1           ,;;37,00;;JLL
1.11.2020;5501;Kiinteistö Oy Järvenpään Myllytie 1A;Myllytie 1A;04410;Järvenpää;510001708;R & L Chard Oy;2173104-8;Ravintola Green Sushi;R & L Chard Oy;Uusimaa;Fixed term;Daily services;,MYL01;F1-2, F1-3;;2010;;108,50;;1.9.2020;;31.8.2025;;;31.8.2025;;4,83;;;;;;;;;;24 %;;Index-based;Cost-of-living index (1951:10 = 100);1976;1,;;;;Freehold;;186-6-665-1           ,;;108,00;;JLL
1.11.2020;5501;Kiinteistö Oy Järvenpään Myllytie 1A;Myllytie 1A;04410;Järvenpää;;TYHJÄT TILAT;;;;Uusimaa;;Local Commercial Center;MYL01;B1-10/varasto;;2010;;19,50;;;;;;;;;;;;;;;;;;;24 %;;;;;;;;;Freehold;;,186-6-665-1           ;;19,50;11,00;JLL
1.11.2020;5501;Kiinteistö Oy Järvenpään Myllytie 1A;Myllytie 1A;04410;Järvenpää;;TYHJÄT TILAT;;;;Uusimaa;;Local Commercial Center;MYL01;B1-12/varasto;;2010;;45,50;;;;;;;;;;;;;;;;;;;24 %;;;;;;;;;Freehold;;,186-6-665-1           ;;45,50;11,00;JLL
1.11.2020;5501;Kiinteistö Oy Järvenpään Myllytie 1A;Myllytie 1A;04410;Järvenpää;;TYHJÄT TILAT;;;;Uusimaa;;Local Commercial Center;MYL01;B1-4/muu huoneisto;;2010;;15,50;;;;;;;;;;;;;;;;;;;24 %;;;;;;;;;Freehold;;,186-6-665-1           ;;15,50;;JLL
1.11.2020;5501;Kiinteistö Oy Järvenpään Myllytie 1A;Myllytie 1A;04410;Järvenpää;;TYHJÄT TILAT;;;;Uusimaa;;Local Commercial Center;MYL01;B1-5/muu huoneisto;;2010;;28,00;;;;;;;;;;;;;;;;;;;24 %;;;;;;;;;Freehold;;,186-6-665-1           ;;28,00;;JLL
1.11.2020;5501;Kiinteistö Oy Järvenpään Myllytie 1A;Myllytie 1A;04410;Järvenpää;;TYHJÄT TILAT;;;;Uusimaa;;Local Commercial Center;MYL01;F1-1A/liiketila;;2010;;76,00;;;;;;;;;;;;;;;;;;;24 %;;;;;;;;;Freehold;;,186-6-665-1           ;;76,00;20,00;JLL
1.11.2020;5501;Kiinteistö Oy Järvenpään Myllytie 1A;Myllytie 1A;04410;Järvenpää;;TYHJÄT TILAT;;;;Uusimaa;;Local Commercial Center;MYL01;F3-4/muu huoneisto;;2010;;6,50;;;;;;;;;;;;;;;;;;;24 %;;;;;;;;;Freehold;;,186-6-665-1           ;;6,50;;JLL
1.11.2020;5501;Kiinteistö Oy Järvenpään Myllytie 1A;Myllytie 1A;04410;Järvenpää;;TYHJÄT TILAT;;;;Uusimaa;;Local Commercial Center;MYL01;F4-3/muu huoneisto;;2010;;3,50;;;;;;;;;;;;;;;;;;;24 %;;;;;;;;;Freehold;;,186-6-665-1           ;;3,50;;JLL
1.11.2020;5501;Kiinteistö Oy Järvenpään Myllytie 1A;Myllytie 1A;04410;Järvenpää;;TYHJÄT TILAT;;;;Uusimaa;;Local Commercial Center;MYL01;F4-4/muu huoneisto;;2010;;3,50;;;;;;;;;;;;;;;;;;;24 %;;;;;;;;;Freehold;;,186-6-665-1           ;;3,50;;JLL
1.11.2020;5502;Kiinteistö Oy Keravan Peltomäenkatu 2-4;Peltomäenkatu 2-4;04250;Kerava;510001645;JYSK OY;1000514-7;;JYSK OY;Uusimaa;Fixed term;Retail;,PEL02;F1-2, F1-4;;2012;;1 349,00;;1.5.2020;;31.12.2025;;;31.12.2025;;5,17;;10 829,65;2 670;;;;;13 499,16;;24 %;;Index-based;Cost-of-living index (1951:10 = 100);1976;1,;;;1,00 %;Freehold;;245-9-332-37          ,;;1 349,00;;JLL
1.11.2020;5502;Kiinteistö Oy Keravan Peltomäenkatu 2-4;Peltomäenkatu 2-4;04250;Kerava;145;Kiinteistö Oy Jäspilänkatu 32, c/o Härus;1083112-3;;Kiinteistö Oy Jäspilänkatu 32, c/o Härus;Uusimaa;Rolling;Retail;;VSS-S1;;2012;;;;1.11.2012;;;;;31.12.2020;;0,16;;70,08;;;;;;70,08;;0 %;;No rent adjustments;;;;;;;Freehold;;245-9-332-37          ,;;;;JLL
1.11.2020;5502;Kiinteistö Oy Keravan Peltomäenkatu 2-4;Peltomäenkatu 2-4;04250;Kerava;510001669;Tokmanni Oy;1928426-9;;Tokmanni Oy;Uusimaa;Fixed term;Discount retail;,PEL02;F1-1, F1-3;;2012;;3 765,00;;1.7.2020;;30.6.2027;;;30.6.2027;;6,66;OPTIO: Vuokralaisella on oikeus jatkaa määräaikaista vuokra-aikaa entisin ehdoin yhdellä (1) vuodella ilmoittamalla tästä kirjallisesti vuokranantajalle viimeistään 30.6.2026. Mikäli vuokralainen tekee edellä mainitun ilmoituksen, tämä vuokrasopimus päättyy 30.6.2028.;28 589,75;8 155;;;;;36 744,61;;24 %;;Index-based;Cost-of-living index (1951:10 = 100);1966;1,;;;;Freehold;;245-9-332-37          ,;;3 758,00;;JLL
1.11.2020;5503;Kiinteistö Oy Hämeenlinnan Katsastusmiehentie 6-8;Katsastusmiehentie 6;13130;Hämeenlinna;510000201;Kesko Oyj / Vuokrahallinto;0109862-8;K-Citymarket Hämeenlinna Tiiriö;Kesko Oyj;Kanta-Häme;Fixed term;Grocery;,KAT06;B1-1-B1-8, F1-10-F1-31, F1-1-F1-2, F1-33-F1-36, F1-4-F1-6, F2-2-F2-4;;1996;2007;20 452,00;;22.12.2009;;31.12.2024;;;31.12.2024;;4,17;;228 753,62;;;;;;228 753,62;;24 %;200 000,00;Index-based;Cost-of-living index (1951:10 = 100);1725;1,7,;20205;1965;;Freehold;;109-10-100-3          ,;;22 594,50;;JLL
1.11.2020;5504;Kiinteistö Oy Hämeenlinnan Katsastusmiehentie 10;Katsastusmiehentie 6;13130;Hämeenlinna;510000200;Kesko Oyj / Vuokrahallinto;0109862-8;K-Rauta Hämeenlinna;Kesko Oyj;Kanta-Häme;Fixed term;Retail;,KAT10;F1-1-F1-4, F1-7-F1-13, F2-1, F2-3;;;;6 769,00;;22.12.2009;;31.12.2024;;;31.12.2024;;4,17;;61 763,48;;;;;;61 763,48;;24 %;54 000,00;Index-based;Cost-of-living index (1951:10 = 100);1725;1,7,;20205;1965;;Freehold;;109-10-100-3          ,;;6 883,50;;JLL
1.11.2020;5505;Kiinteistö Oy Seinäjoen Päivölänkatu 40;Päivölänkatu 40;60120;Seinäjoki;510000169;Kesko Oyj / Vuokrahallinto;0109862-8;;Kesko Oyj;Pohjanmaa;Fixed term;Grocery;,PAI40;F1-01:F1-28;;2011;;10 916,00;;29.4.2011;;28.4.2024;;;28.4.2024;;3,49;"Vuokra-aika on 13 vuotta. Vuokra-aika alkaa Vuokrakohteen luovutuksesta.
Vuokralaisella on optio jatkaa vuokrasopimusta tämän vuokrasopimuksen mukaisilla ehdoilla viidellä vuodella ilmoittamalla siitä kirjallisesti Vuokranantajalle viimeistään 24 kuukautta ennen varsinaisen vuokra-ajan päättymistä.";143 648,79;;;;;;143 648,79;;24 %;127 211,00;Index-based;Cost-of-living index (1951:10 = 100);1749;1,;201910;1975;;Freehold;;743-6-73-11           ,;;10 592,00;;JLL
1.11.2020;5506;Kiinteistö Oy Tampereen Kauppakatu 4;Kauppakatu 4;33210;Tampere;510000183;Asianajotoimisto Borenius Oy;0103460-8;;Asianajotoimisto Borenius Oy;Pirkanmaa;Rolling;Office;,KAU04;B1-6;;1917;;42,00;;1.4.2013;;;;3;28.2.2021;3;0,33;;350,00;;;;;;350,00;;24 %;;No rent adjustments;;;;;;;Freehold;;837-102-10-12         ,;;49,50;;JLL
1.11.2020;5506;Kiinteistö Oy Tampereen Kauppakatu 4;Kauppakatu 4;33210;Tampere;510000177;Nordea Bank Oyj;2858394-9;;Nordea Bank Oyj;Pirkanmaa;Rolling;Office;,KAU04;B1-15, F1-3, F2-4, F3-4, F4-5;;1917;;2 070,00;;1.9.2011;;;28.02.2021;6;31.8.2021;6;0,83;;41 496,85;;;;;;41 496,85;;0 %;37 988,00;Index-based;Cost-of-living index (1951:10 = 100);1808;1,;201910;1975;;Freehold;;837-102-10-12         ,;;2 072,50;;JLL
1.11.2020;5506;Kiinteistö Oy Tampereen Kauppakatu 4;Kauppakatu 4;33210;Tampere;510000175;Peab Oy;1509374-8;;Peab Oy;Pirkanmaa;Fixed term;Office;,KAU04;B1-14, B1-2, B1-3, B1-4, F1-1, F1-2, F2-1, F3-7, F5-3;;1917;;1 125,20;;2.7.2015;;2.7.2025;;;2.7.2025;;4,67;Vuokrasopimus jatkuu määräajan päättymisen jälkeen toistaiseksi voimassa olevana sopimuksena, ellei sopijapuoli vähintään kuusi (6) kauukautta ennen vuokra-ajan päättymistä irtisano sopimusta. Vuokrasuhteen näin jatkuessa molemminpuolinen irtisanomisaika on kuusi (6) kuukautta.;20 819,57;6 486;;;;;27 306,03;;24 %;21 905,00;Index-based;Cost-of-living index (1951:10 = 100);1908;4,;20202;1976;;Freehold;;837-102-10-12         ,;;1 140,50;;JLL
1.11.2020;5506;Kiinteistö Oy Tampereen Kauppakatu 4;Kauppakatu 4;33210;Tampere;;TYHJÄT TILAT;;;;Pirkanmaa;;Office;KAU04;B1-17/varasto;;1917;;15,00;;;;;;;;;;;;;;;;;;;24 %;;;;;;;;;Freehold;;,837-102-10-12         ;;15,00;5,00;JLL
1.11.2020;5506;Kiinteistö Oy Tampereen Kauppakatu 4;Kauppakatu 4;33210;Tampere;;TYHJÄT TILAT;;;;Pirkanmaa;;Office;KAU04;F4-1/toimistotila;;1917;;107,50;;;;;;;;;;;;;;;;;;;24 %;;;;;;;;;Freehold;;,837-102-10-12         ;;110,00;17,00;JLL
1.11.2020;5506;Kiinteistö Oy Tampereen Kauppakatu 4;Kauppakatu 4;33210;Tampere;;TYHJÄT TILAT;;;;Pirkanmaa;;Office;KAU04;F4-3/toimistotila;;1917;;214,50;;;;;;;;;;;;;;;;;;;0 %;;;;;;;;;Freehold;;,837-102-10-12         ;;210,50;17,00;JLL
1.11.2020;5507;Kiinteistö Oy Tampereen Taninkatu 1;Taninkatu 1;33400;Tampere;510000193;Power Finland Oy;0993774-8;;Power Finland Oy;Pirkanmaa;Rolling;Retail;,TAN01;F1-2, F2-6;;1983;;2 230,50;;1.7.2015;;;30.06.2025;6;31.12.2025;6;5,17;;25 881,00;6 331;;;;;32 211,87;;24 %;6 457,25;Index-based;Cost-of-living index (1951:10 = 100);1907;1,;201910;1975;;Freehold;;837-263-2492-7        ,;;2 224,50;;JLL
1.11.2020;5507;Kiinteistö Oy Tampereen Taninkatu 1;Taninkatu 1;33400;Tampere;510000195;XXL Sports &  Outdoor Oy;2541215-9;;XXL Sports &  Outdoor Oy;Pirkanmaa;Fixed term;Retail;,TAN01;F1-1;;1983;;4 009,70;;1.4.2015;;31.3.2025;;;31.3.2025;;4,41;The tenant has an option to continue this lease agreement on same conditions for five (5) years from 01 April 2025 until 31 March 2030. The use of the option is to be notified to the lessor prior to the six (6) month notice period. After this 5-years-period of extension the lease will continue for the present and the notification time will be according to retail premises leasing law (31.3.1995/482).;60 686,57;11 381;;;;;72 067,37;;24 %;51 729,00;Index-based;Cost-of-living index (1951:10 = 100);1892;1,;201911;1973;;Freehold;;837-263-2492-7        ,;;3 994,00;;JLL
1.11.2020;5508;Kiinteistö Oy Helsingin Panuntie 4;Panuntie 4;00620;Helsinki;510001516;Aste Helsinki Oy;2205449-9;;Aste Helsinki Oy;Uusimaa;Rolling;Office;,PAN04;AP, F1-22, F3-02;;2002;;780,00;;1.8.2019;;;01.08.2021;4;31.12.2021;4;1,16;;15 267,00;;;;;;15 267,00;;24 %;;Index-based;Cost-of-living index (1951:10 = 100);1969;8,;20206;1969;;Freehold;;91-25-877-2           ,;;782,00;;JLL
1.11.2020;5508;Kiinteistö Oy Helsingin Panuntie 4;Panuntie 4;00620;Helsinki;510001679;Juvenes Oy;0155602-7;;Juvenes Oy;Uusimaa;Rolling;Office;,PAN04;F1-06;;2002;;343,50;;1.8.2020;;;31.07.2025;6;31.1.2026;6;5,25;;2 404,50;1 716;;;;;4 120,00;;24 %;;Index-based;Cost-of-living index (1951:10 = 100);1969;1,;;;2,00 %;Freehold;;91-25-877-2           ,;;343,50;;JLL
1.11.2020;5508;Kiinteistö Oy Helsingin Panuntie 4;Panuntie 4;00620;Helsinki;510001686;Juvenes Oy;0155602-7;;Juvenes Oy;Uusimaa;Rolling;Office;,PAN04;F1-07, F1-21;;2002;;110,00;;1.8.2020;;;31.07.2025;6;31.1.2026;6;5,25;;0,00;;;;;;0,00;;24 %;;No rent adjustments;;;;;;;Freehold;;91-25-877-2           ,;;110,00;;JLL
1.11.2020;5508;Kiinteistö Oy Helsingin Panuntie 4;Panuntie 4;00620;Helsinki;510001513;Lakewood Oy;1623939-0;;Lakewood Oy;Uusimaa;Rolling;Office;,PAN04;AP, F1-04;;2002;;219,00;;1.9.2014;;;01.08.2015;6;31.5.2021;6;0,58;;4 650,87;;;;;;4 650,87;;24 %;4 500,00;Index-based;Cost-of-living index (1951:10 = 100);1909;1,;201911;1973;;Freehold;;91-25-877-2           ,;;221,50;;JLL
1.11.2020;5508;Kiinteistö Oy Helsingin Panuntie 4;Panuntie 4;00620;Helsinki;510001515;Rakennuttajatoimisto Valvontakonsultit Oy;0779955-6;;Rakennuttajatoimisto Valvontakonsultit Oy;Uusimaa;Rolling;Office;,PAN04;AP, F2-02, F2-03, F2-05;;2002;;1 508,00;;1.9.2019;;;15.09.2021;5;28.2.2022;5;1,33;;25 883,04;;;754;;;26 637,04;;24 %;;Index-based;Cost-of-living index (1951:10 = 100);1965;1,;;;;Freehold;;91-25-877-2           ,;;1 502,00;;JLL
1.11.2020;5508;Kiinteistö Oy Helsingin Panuntie 4;Panuntie 4;00620;Helsinki;510001514;Rosamaster Oy;0934473-1;;Rosamaster Oy;Uusimaa;Rolling;Office;,PAN04;AP, F1-11;;2002;;70,00;;6.11.2019;;;;4;31.3.2021;4;0,41;;840,00;;;;;;840,00;;24 %;;Index-based;Cost-of-living index (1951:10 = 100);1973;8,;20206;1969;;Freehold;;91-25-877-2           ,;;101,00;;JLL
1.11.2020;5508;Kiinteistö Oy Helsingin Panuntie 4;Panuntie 4;00620;Helsinki;510001521;SATO Oyj;0201470-5;;SATO Oyj;Uusimaa;Rolling;Office;,PAN04;B1-07, F1-16;;2002;;62,00;;1.1.2020;;;;3;28.2.2021;3;0,33;;620,00;310;;;;;930,00;;0 %;;Index-based;Cost-of-living index (1951:10 = 100);1975;1,;;;;Freehold;;91-25-877-2           ,;;62,00;;JLL
1.11.2020;5508;Kiinteistö Oy Helsingin Panuntie 4;Panuntie 4;00620;Helsinki;510001522;SATO Oyj;0201470-5;;SATO Oyj;Uusimaa;Fixed term;Office;,PAN04;B1-08, B1-09, B1-10, F1-18, F3-04, F4-03, F5-02;;2002;;3 220,50;;1.1.2020;;31.12.2027;;;31.12.2027;;7,17;;54 020,00;16 103;;;;;70 122,50;;24 %;;Index-based;Cost-of-living index (1951:10 = 100);1975;1,;;;;Freehold;;91-25-877-2           ,;;3 220,00;;JLL
1.11.2020;5508;Kiinteistö Oy Helsingin Panuntie 4;Panuntie 4;00620;Helsinki;510001653;SATO Oyj;0201470-5;;SATO Oyj;Uusimaa;Rolling;Office;,PAN04;F1-12, F1-13;;2002;;44,00;;1.1.2020;;;;;31.12.2020;;0,16;;;;;;;;;;24 %;;No rent adjustments;;;;;;;Freehold;;91-25-877-2           ,;;41,50;;JLL
1.11.2020;5508;Kiinteistö Oy Helsingin Panuntie 4;Panuntie 4;00620;Helsinki;;TYHJÄT TILAT;;;;Uusimaa;;Office;PAN04;B1-03/muu huoneisto;;2002;;19,00;;;;;;;;;;;;;;;;;;;24 %;;;;;;;;;Freehold;;,91-25-877-2           ;;19,00;7,00;JLL
1.11.2020;5508;Kiinteistö Oy Helsingin Panuntie 4;Panuntie 4;00620;Helsinki;;TYHJÄT TILAT;;;;Uusimaa;;Office;PAN04;B1-13/varasto;;2002;;7,50;;;;;;;;;;;;;;;;;;;24 %;;;;;;;;;Freehold;;,91-25-877-2           ;;7,50;7,00;JLL
1.11.2020;5508;Kiinteistö Oy Helsingin Panuntie 4;Panuntie 4;00620;Helsinki;;TYHJÄT TILAT;;;;Uusimaa;;Office;PAN04;B2-04/varasto;;2002;;3,50;;;;;;;;;;;;;;;;;;;24 %;;;;;;;;;Freehold;;,91-25-877-2           ;;3,50;7,00;JLL
1.11.2020;5508;Kiinteistö Oy Helsingin Panuntie 4;Panuntie 4;00620;Helsinki;;TYHJÄT TILAT;;;;Uusimaa;;Office;PAN04;F1-02/toimistotila;;2002;;266,00;;;;;;;;;;;;;;;;;;;24 %;;;;;;;;;Freehold;;,91-25-877-2           ;;266,00;16,00;JLL
1.11.2020;5508;Kiinteistö Oy Helsingin Panuntie 4;Panuntie 4;00620;Helsinki;;TYHJÄT TILAT;;;;Uusimaa;;Office;PAN04;F1-14/toimistotila;;2002;;37,00;;;;;;;;;;;;;;;;;;;24 %;;;;;;;;;Freehold;;,91-25-877-2           ;;37,00;7,00;JLL
1.11.2020;5508;Kiinteistö Oy Helsingin Panuntie 4;Panuntie 4;00620;Helsinki;;TYHJÄT TILAT;;;;Uusimaa;;Office;PAN04;F1-15/toimistotila;;2002;;85,50;;;;;;;;;;;;;;;;;;;24 %;;;;;;;;;Freehold;;,91-25-877-2           ;;85,50;16,00;JLL
1.11.2020;5508;Kiinteistö Oy Helsingin Panuntie 4;Panuntie 4;00620;Helsinki;;TYHJÄT TILAT;;;;Uusimaa;;Office;PAN04;F1-19/toimistotila;;2002;;12,00;;;;;;;;;;;;;;;;;;;24 %;;;;;;;;;Freehold;;,91-25-877-2           ;;12,00;7,00;JLL
1.11.2020;5508;Kiinteistö Oy Helsingin Panuntie 4;Panuntie 4;00620;Helsinki;;TYHJÄT TILAT;;;;Uusimaa;;Office;PAN04;F1-20/toimistotila;;2002;;12,00;;;;;;;;;;;;;;;;;;;24 %;;;;;;;;;Freehold;;,91-25-877-2           ;;12,00;7,00;JLL
1.11.2020;5508;Kiinteistö Oy Helsingin Panuntie 4;Panuntie 4;00620;Helsinki;;TYHJÄT TILAT;;;;Uusimaa;;Office;PAN04;F1-23/toimistotila;;2002;;7,50;;;;;;;;;;;;;;;;;;;24 %;;;;;;;;;Freehold;;,91-25-877-2           ;;7,50;7,00;JLL
1.11.2020;5508;Kiinteistö Oy Helsingin Panuntie 4;Panuntie 4;00620;Helsinki;;TYHJÄT TILAT;;;;Uusimaa;;Office;PAN04;F1-24/toimistotila;;2002;;7,00;;;;;;;;;;;;;;;;;;;24 %;;;;;;;;;Freehold;;,91-25-877-2           ;;7,00;7,00;JLL
1.11.2020;5508;Kiinteistö Oy Helsingin Panuntie 4;Panuntie 4;00620;Helsinki;;TYHJÄT TILAT;;;;Uusimaa;;Office;PAN04;F1-26/toimistotila;;2002;;19,00;;;;;;;;;;;;;;;;;;;24 %;;;;;;;;;Freehold;;,91-25-877-2           ;;19,00;7,00;JLL
1.11.2020;5508;Kiinteistö Oy Helsingin Panuntie 4;Panuntie 4;00620;Helsinki;;TYHJÄT TILAT;;;;Uusimaa;;Office;PAN04;F6-02/toimistotila;;2002;;197,00;;;;;;;;;;;;;;;;;;;24 %;;;;;;;;;Freehold;;,91-25-877-2           ;;197,00;16,00;JLL
1.11.2020;5509;Kiinteistö Oy Nokian Nuijamiestentie 9;Nuijamiestentie 9;37120;Nokia;510001577;JYSK OY;1000514-7;;JYSK OY;Pirkanmaa;Fixed term;Retail;,NUI09;F1-11;;2011;;1 191,00;;1.5.2020;;30.4.2026;;;30.4.2026;;5,50;;9 528,00;3 228;;;;;12 755,61;;24 %;;Index-based;Cost-of-living index (1951:10 = 100);;1,;;;1,00 %;Freehold;;536-14-95-4           ,;;1 191,00;;JLL
1.11.2020;5509;Kiinteistö Oy Nokian Nuijamiestentie 9;Nuijamiestentie 9;37120;Nokia;510000221;LS Everything Happens For a Reason Oy;2627236-2;;LS Everything Happens For a Reason Oy;Pirkanmaa;Rolling;Daily services;,NUI09;F1-16;;2011;;977,00;;1.11.2014;;;30.04.2024;6;31.10.2024;6;4,00;Vuokra-aika on kymmenen vuotta. Sopimus jatkuu nyt sovitun vuokra-ajan päätyttyä  toistaiseksi voimassaolevana 12 kk kerrallaan, ellei sitä irtisanota viimeistään 6 kk ennen em vuokra-ajan tai kulloinkin kulumassa olevan vuokrajakson päättymistä;9 278,72;2 644;;;;;11 923,00;;24 %;8 304,50;Index-based;Cost-of-living index (1951:10 = 100);1913;2,;201911;1973;;Freehold;;536-14-95-4           ,;;976,00;;JLL
1.11.2020;5509;Kiinteistö Oy Nokian Nuijamiestentie 9;Nuijamiestentie 9;37120;Nokia;510000354;Nokian Autokatsastus Oy;2315211-1;;Nokian Autokatsastus Oy;Pirkanmaa;Rolling;Retail;,NUI09;F1-15;;2011;;308,00;;1.8.2016;;;31.01.2021;6;31.7.2021;6;0,75;Vuokra-aika on määräaikainen 5 vuotta vuokra-ajan alkamispäivästä lukien. Vuokra-aika jatkuu määräajan päättymisajankohdan jälkeen toistaiseksi voimassaolevana kuuden (6) kuukauden irtisanomisajalla, elleri sitä irtisanota kuutta (6) kuukautta ennen määräajan päättymistä.;2 547,04;834;;;;;3 380,65;;24 %;2 467,08;Index-based;Cost-of-living index (1951:10 = 100);1913;2,;201910;1975;;Freehold;;536-14-95-4           ,;;304,00;;JLL
